configuration_id,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,min_coefficient,max_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency,selection_frequency,stability_ratio
LR-SELECTED-AP,var_8,0.06265468150377274,0.004603890762960849,0.06265468150377274,0.056290458887815475,0.06890981644392014,5,0,0,1.0,1.0,13.60907213694951
LR-SELECTED-AP,var_9,-0.1367567241191864,0.0054380581668656315,0.1367567241191864,-0.14558908343315125,-0.13065636157989502,0,5,0,1.0,1.0,25.1480804218768
LR-SELECTED-AP,var_10,-0.004183061793446541,0.0030969948205711645,0.004183061793446541,-0.00853926595300436,0.0,0,4,1,0.8,0.8,1.3506841424664633
LR-SELECTED-AP,var_11,0.07570891231298446,0.0038628294743890505,0.07570891231298446,0.06925249099731445,0.0803842768073082,5,0,0,1.0,1.0,19.59934105684391
LR-SELECTED-AP,var_12,-0.2162904918193817,0.006434738843573315,0.2162904918193817,-0.22522231936454773,-0.20761343836784363,0,5,0,1.0,1.0,33.61294017944396
LR-SELECTED-AP,var_13,-0.18054865598678588,0.0030029112628968515,0.18054865598678588,-0.18606194853782654,-0.17754998803138733,0,5,0,1.0,1.0,60.12453921552137
LR-SELECTED-AP,var_14,-0.016536352783441545,0.002889018226181004,0.016536352783441545,-0.02074323408305645,-0.012509525753557682,0,5,0,1.0,1.0,5.723865856429605
LR-SELECTED-AP,var_15,0.05940396189689636,0.003662079499241835,0.05940396189689636,0.053575169295072556,0.06388413906097412,5,0,0,1.0,1.0,16.22137419714434
LR-SELECTED-AP,var_16,0.01615353599190712,0.004559392219902685,0.01615353599190712,0.011315999552607536,0.023960376158356667,5,0,0,1.0,1.0,3.5429143212099246
LR-SELECTED-AP,var_17,0.0012416547833709046,0.0026996734855577378,0.0017559516447363422,-0.0012857421534135938,0.00645174365490675,3,1,1,0.6,0.8,0.4599277616397686
LR-SELECTED-AP,var_18,0.1307577520608902,0.005243773445250423,0.1307577520608902,0.12290661036968231,0.1390378773212433,5,0,0,1.0,1.0,24.935812621599666
LR-SELECTED-AP,var_19,0.036052366718649864,0.005383180530180908,0.036052366718649864,0.02789282239973545,0.04207019880414009,5,0,0,1.0,1.0,6.697224162652557
LR-SELECTED-AP,var_20,-0.06112431585788727,0.0035687083234687152,0.06112431585788727,-0.06517229229211807,-0.0562530979514122,0,5,0,1.0,1.0,17.127854203134152
LR-SELECTED-AP,var_21,-0.18999265432357787,0.007333586110604919,0.18999265432357787,-0.1998182237148285,-0.1814068853855133,0,5,0,1.0,1.0,25.90719621452708
LR-SELECTED-AP,var_22,0.19863816499710082,0.0027581203683442338,0.19863816499710082,0.19542410969734192,0.2031991183757782,5,0,0,1.0,1.0,72.01939671557268
LR-SELECTED-AP,var_23,-0.09044278711080551,0.004715594804635152,0.09044278711080551,-0.09467830508947372,-0.08140221238136292,0,5,0,1.0,1.0,19.179507752002213
LR-SELECTED-AP,var_24,0.08538150638341904,0.004693595564512339,0.08538150638341904,0.07931805402040482,0.09104368835687637,5,0,0,1.0,1.0,18.191065934392256
LR-SELECTED-AP,var_25,0.05081719905138016,0.006841320619178657,0.05081719905138016,0.04050534591078758,0.06061859056353569,5,0,0,1.0,1.0,7.427980923583644
LR-SELECTED-AP,var_26,0.2002763032913208,0.004285372097232896,0.2002763032913208,0.19664031267166138,0.2083858847618103,5,0,0,1.0,1.0,46.73486893253229
LR-SELECTED-AP,var_27,-0.007593522872775793,0.0026998184971089474,0.007593522872775793,-0.011498340405523777,-0.003578068222850561,0,5,0,1.0,1.0,2.812604951372308
LR-SELECTED-AP,var_28,-0.0755483016371727,0.002955503896246208,0.0755483016371727,-0.0811583548784256,-0.0726192444562912,0,5,0,1.0,1.0,25.56190223031717
LR-SELECTED-AP,var_29,0.015948536247014998,0.004111597820012359,0.015948536247014998,0.009944530203938484,0.021156853064894676,5,0,0,1.0,1.0,3.8789144622530705
LR-SELECTED-AP,var_30,-0.0024348296690732242,0.002057401930231619,0.0024348296690732242,-0.004747891332954168,0.0,0,3,2,0.6,0.6,1.1834487142718157
