false_positive_rate,true_positive_rate,threshold
0.0005975458929142174,0.0740141808682672,0.7721021391552074
0.0005975458929142174,0.07420077124020401,0.7718981366578894
0.0006044941009713594,0.07420077124020401,0.7718696377867169
0.0006044941009713594,0.07426296803084961,0.7718514645328262
0.0006114423090285016,0.07426296803084961,0.7718162021322229
0.0006114423090285016,0.07444955840278641,0.7717471812080294
0.0006183905170856436,0.07444955840278641,0.7716866594809378
0.0006183905170856436,0.07451175519343202,0.7716304557597534
0.0006253387251427857,0.07451175519343202,0.7715789745469658
0.0006253387251427857,0.07488493593730564,0.7711460334406021
0.0006392351412570698,0.07488493593730564,0.7706960157950207
0.0006392351412570698,0.07563129742505287,0.7696453357872196
0.0006461833493142118,0.07563129742505287,0.7695267293768353
0.0006461833493142118,0.07569349421569847,0.7694571272739713
0.000653131557371354,0.07569349421569847,0.7694374303404573
0.000653131557371354,0.07942530165443464,0.7634308715719584
0.000660079765428496,0.07942530165443464,0.7633983230147076
0.000660079765428496,0.07992287597959945,0.762195272214172
0.0006670279734856381,0.07992287597959945,0.7621391903804695
0.0006670279734856381,0.08010946635153626,0.7620222185628234
0.0006739761815427801,0.08010946635153626,0.7614954714259595
0.0006739761815427801,0.08023385993282747,0.7614547706165133
0.0006809243895999222,0.08023385993282747,0.761344625502609
0.0006809243895999222,0.08042045030476427,0.7611277681437292
0.0006878725976570642,0.08042045030476427,0.7610817981769763
0.0006878725976570642,0.0809180246299291,0.7606429026883299
0.0006948208057142063,0.0809180246299291,0.7605554771657999
0.0006948208057142063,0.08135340216444832,0.7602888412540423
0.0007017690137713484,0.08135340216444832,0.7602806596267389
0.0007017690137713484,0.08141559895509391,0.7602492670954301
0.0007087172218284905,0.08141559895509391,0.7600783441940067
0.0007087172218284905,0.08147779574573952,0.7600084740322673
0.0007156654298856325,0.08147779574573952,0.759884486363379
0.0007156654298856325,0.08197537007090434,0.7594691445704457
0.0007226136379427745,0.08197537007090434,0.7592587842237025
0.0007226136379427745,0.08222415723348675,0.7589366122910984
0.0007295618459999166,0.08222415723348675,0.7588906053811404
0.0007295618459999166,0.08396566737156362,0.7563168887841928
0.0007365100540570586,0.08396566737156362,0.7562769917882242
0.0007365100540570586,0.08415225774350044,0.7557204988360146
0.0007434582621142008,0.08415225774350044,0.7556472914665983
0.0007434582621142008,0.08427665132479165,0.7556005567706736
0.0007504064701713428,0.08427665132479165,0.7554535523977138
0.0007504064701713428,0.08440104490608284,0.7549419314628382
0.0007573546782284849,0.08440104490608284,0.7548896881803758
