candidate_id,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,rank_roc_auc,validation_roc_auc_mean,validation_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,roc_auc_generalization_gap,rank_average_precision,validation_average_precision_mean,validation_average_precision_std,train_average_precision_mean,train_average_precision_std,average_precision_generalization_gap,rank_f1,validation_f1_mean,validation_f1_std,train_f1_mean,train_f1_std,f1_generalization_gap,rank_precision,validation_precision_mean,validation_precision_std,train_precision_mean,train_precision_std,precision_generalization_gap,rank_recall,validation_recall_mean,validation_recall_std,train_recall_mean,train_recall_std,recall_generalization_gap,rank_accuracy,validation_accuracy_mean,validation_accuracy_std,train_accuracy_mean,train_accuracy_std,accuracy_generalization_gap,rank_balanced_accuracy,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,balanced_accuracy_generalization_gap,mean_fit_time,std_fit_time,mean_score_time,std_score_time,fold_1_roc_auc,fold_1_average_precision,fold_2_roc_auc,fold_2_average_precision,fold_3_roc_auc,fold_3_average_precision,fold_4_roc_auc,fold_4_average_precision,fold_5_roc_auc,fold_5_average_precision
candidate_011,0.05,700,31,100,10.0,1,0.8914490594718993,0.0028364521368533825,0.9735798564387821,0.0001449851951248209,0.08213079696688275,1,0.5910892652910229,0.010028489459778139,0.8874846167620142,0.001081552803242412,0.2963953514709913,2,0.41524813752426376,0.007033139489982255,0.7054875560264627,0.003611752714098957,0.290239418502199,13,0.7957469720820509,0.01830811131373502,0.9660920413716563,0.001842311571043297,0.17034506928960536,3,0.28094235277732643,0.004640089553081182,0.5556194532786236,0.004103723662447666,0.2746771005012972,1,0.9204874999999999,0.001089832269204757,0.9533859375,0.00046881770344398644,0.0328984375000001,3,0.6364377416827398,0.0025867944449508417,0.776720595008231,0.0020789868931790044,0.14028285332549117,78.98448371887207,2.6628862048965645,10.312159538269043,0.13261922627120906,0.8875727837988023,0.5860821354006068,0.891347926967535,0.5868142782280511,0.896349994659139,0.6090120774153283,0.8903765808257214,0.5796644071969216,0.8915980111082995,0.5938734282142069
candidate_012,0.03,300,63,10,0.1,16,0.8728418634498112,0.0035594644862746616,0.965907188107024,0.000264284639073456,0.09306532465721284,15,0.5412258954468167,0.01181087176019406,0.8592626523200615,0.0008926188776278433,0.31803675687324484,17,0.1813445783167122,0.004451983601311413,0.46335003206834935,0.00526779807774804,0.28200545375163716,7,0.8734919633473955,0.018652478392105855,0.9907219468029387,0.000739344610036401,0.11722998345554314,17,0.10119397182052414,0.002900515147754914,0.3024007085519366,0.0044248068512256515,0.20120673673141248,17,0.9082000000000001,0.00024173849507267353,0.9296156250000001,0.00045405077841029787,0.021415624999999938,17,0.5497736241242429,0.0013659192886071468,0.6510422825336134,0.002218216234893973,0.1012686584093705,48.3344624042511,0.985514063053573,6.608457374572754,0.25920652362031227,0.86767868503311,0.5312741315553343,0.8739450168312238,0.5333950313122586,0.8785519426388072,0.5607654743504887,0.8711487250033878,0.5315785877280733,0.8728849477425269,0.5491162522879283
candidate_013,0.03,150,31,100,0.1,20,0.8440385202251635,0.0038965311084629972,0.8971171216593801,0.0005772493341426153,0.05307860143421661,20,0.47124632539746153,0.00982977863117592,0.6336621509830335,0.001863911229885424,0.16241582558557194,20,0.022125112551563176,0.003885710070375374,0.05505829334730018,0.002249913653905558,0.03293318079573701,1,0.9635038123251585,0.015216276785871095,0.9934191406617442,0.002875058582822452,0.029915328336585723,20,0.011195345202448102,0.001986238596733128,0.02831508704829539,0.0011886305901912218,0.01711974184584729,20,0.90059375,0.00018221724671390224,0.9023390625000001,0.00012189503040526955,0.0017453125000000957,20,0.5055733540178488,0.000985563726915934,0.5141471211954665,0.0005954930407162411,0.008573767177617708,16.983073949813843,0.13375306799980047,3.0577733516693115,0.09492134001025206,0.839578502173701,0.4601239289847159,0.8447908462778831,0.4685291564956052,0.8510903890601191,0.48912464840334957,0.8421052762348623,0.4657454371421791,0.8426275873792516,0.4727084559614576
candidate_014,0.05,500,15,20,0.1,8,0.8846661014261802,0.0032161960200651593,0.9399875684841433,0.00035010115010885825,0.05532146705796315,7,0.5738389346703464,0.011548789688282936,0.7581425580900845,0.0021434330289995403,0.18430362341973805,12,0.31327924352197223,0.0022945855323947537,0.4705550649420934,0.0048296710208792235,0.1572758214201212,9,0.8416932519315659,0.026281292499760092,0.9463020717669665,0.0036581086815316694,0.1046088198354006,12,0.1924992262637048,0.0015924938339277077,0.31314522035039477,0.004207242023719003,0.12064599408668997,12,0.9151937499999999,0.0006810492823577487,0.9291937499999999,0.00042829034215995185,0.014000000000000012,12,0.594213790777492,0.0007524135619506296,0.6555798849128069,0.0020976482769323695,0.06136609413531491,37.19844722747803,0.5867002820322184,5.769043922424316,0.10827813807837905,0.8806825634679373,0.5665134948806223,0.884632477981366,0.5694825093738897,0.8903879344764504,0.5939065231876219,0.8829033940221074,0.560804016655092,0.8847241371830398,0.578488129254506
candidate_015,0.15,700,31,10,10.0,6,0.8853593994801038,0.0028130447545538432,0.9733622282341503,0.0023532066450685867,0.08800282875404652,9,0.5667729787999406,0.010686223642895775,0.8870637494487823,0.01150116943069136,0.3202907706488417,1,0.42126921750558416,0.00529201810663868,0.7275964905237359,0.019420134464307452,0.3063272730181517,19,0.7503917758919206,0.01553615935102257,0.9592389630288973,0.005245686747731858,0.2088471871369767,1,0.2928841987573795,0.004393725689580737,0.5863291851922305,0.02323986614890315,0.29344498643485106,4,0.9191375,0.0008766947872549486,0.9559390625,0.0025712094749480376,0.036801562499999996,1,0.6409912293597081,0.002180648056048874,0.7917792935392637,0.011750986948978207,0.1507880641795556,30.65365138053894,2.111646622427506,4.42356686592102,0.20144741557552942,0.8812770713103069,0.5613443524374523,0.8846922875147464,0.5588375461788417,0.8900545411664578,0.5864738860101112,0.885839225564783,0.5576744519879052,0.8849338718442252,0.5695346573853922
candidate_016,0.15,300,63,10,0.1,14,0.8752309872649319,0.003571172414019454,0.9888327779328406,0.0008934199310800842,0.11360179066790876,16,0.5390279921589061,0.0074834829766064264,0.9581353267687316,0.003619744024282831,0.4191073346098255,9,0.37722460586546025,0.0054201649021622875,0.8439230443248535,0.015046002047840776,0.4666984384593933,20,0.7412266524708654,0.009747947788999458,0.9844478328982593,0.0007937872599924938,0.24322118042739393,9,0.253016101452303,0.004603168348049539,0.7388204470946182,0.023105144621425752,0.4858043456423152,9,0.9160562500000001,0.0005760181203747177,0.97258125,0.0022696655779954624,0.056524999999999825,9,0.6215713455931298,0.0022573126536902144,0.868757960586841,0.01152302614885189,0.2471866149937112,29.374907159805296,1.8491375234650562,4.045209264755249,0.21404022055670519,0.8709632495540622,0.5328212237678805,0.876336133899876,0.5368227109988798,0.881430865492576,0.5529031818888976,0.8745124627868164,0.532476637513957,0.872912224591329,0.5401162066249151
candidate_017,0.1,300,63,20,1.0,9,0.8826510824577758,0.0021696485290888367,0.9890229483560598,0.0011786299154667365,0.10637186589828396,10,0.5638826094744823,0.011538069736146529,0.9585683186483687,0.004920780827187147,0.39468570917388635,8,0.384027382439779,0.011685045566104921,0.8418220657887728,0.018802181616984544,0.4577946833489938,15,0.7783211229239948,0.014915260038395804,0.9878886986852141,0.000677008165391123,0.20956757576121932,8,0.2549438460883761,0.00911358543007779,0.7338444257958948,0.028340292856490187,0.4789005797075187,8,0.9178375000000001,0.001173503035786442,0.9723515624999999,0.002838555523666499,0.054514062499999794,8,0.6234176441485826,0.004654472927379308,0.8664202049276655,0.014164751222313289,0.2430025607790829,44.20993084907532,3.0080531872742675,5.870367431640625,0.34070291830392024,0.8801935408405372,0.5595148167477659,0.88391221343629,0.5573252170668648,0.8862569772558831,0.5838302508152642,0.8814748649401685,0.5502898753113925,0.8814178158160008,0.5684528874311242
candidate_018,0.05,500,15,20,1.0,7,0.8850146127749433,0.0037052490049789524,0.9392522589106317,0.00026104648775430783,0.05423764613568838,6,0.5763138063743642,0.011487958435954234,0.7560423752640827,0.001722131544150246,0.17972856888971844,11,0.3153593106571716,0.003498751272128829,0.46867780790244123,0.005281876559698029,0.15331849724526964,8,0.8476845399962449,0.020482346101905448,0.9455114487320124,0.002485323970174418,0.09782690873576749,11,0.19374285261097313,0.0025681320739456485,0.3115747170524371,0.0046765530991725816,0.11783186444146398,11,0.9154687499999999,0.0005583177858531899,0.9290171875000001,0.00043968205842401454,0.013548437500000121,11,0.5949189819167863,0.001253853700757386,0.6547842109728637,0.0023181174730137638,0.059865229056077385,37.81165943145752,0.6079518839719472,5.946847915649414,0.2411810416407722,0.8798559600578213,0.569181161819009,0.8855503895318729,0.5686601127214884,0.8912465124523298,0.5971222638040896,0.8833116177208732,0.5662569168024871,0.88510858411182,0.5803485767247468
candidate_019,0.03,500,31,10,10.0,10,0.8814955287051953,0.0034301485050724045,0.9481783775859899,0.00024005016520982063,0.06668284888079457,8,0.567126097916035,0.010481295429330172,0.7903312485727921,0.0013765825403202737,0.22320515065675717,14,0.24656138396089458,0.002162933587882217,0.4422619749176415,0.005591738094815459,0.19570059095674694,4,0.8784068636827298,0.021247517313300546,0.9708315377945885,0.0021186968083316358,0.09242467411185873,14,0.1434257174469797,0.0015953213586548485,0.2863695021803946,0.0045493041818936925,0.14294378473341487,14,0.9119187499999999,0.00035277914479175883,0.9274249999999998,0.0004863518129271414,0.015506249999999944,14,0.5705976732128087,0.0007257395305108312,0.6427044561795737,0.002290184936505182,0.07210678296676498,54.39132118225098,0.31797921578496025,7.793165588378907,0.09457989929060656,0.8777070526893894,0.560286428334434,0.8816951869534175,0.5613833872929139,0.8876347011814193,0.5860831155145487,0.8788983100063884,0.5572364868159169,0.8815423926953614,0.570641071622361
candidate_020,0.03,300,63,20,0.1,15,0.873302145756172,0.0037513224599715826,0.9654459016061653,0.00032281547452692937,0.09214375584999324,14,0.543470953874839,0.010277410749386819,0.8583097759997914,0.0005876179998999068,0.3148388221249524,16,0.18656249209423864,0.003531480664794184,0.46463201550267585,0.004930580136696843,0.2780695234084372,5,0.8744296170475119,0.022191126535581106,0.990761064992968,0.0007516017893381659,0.11633144794545613,16,0.10442826690807239,0.0020870629790962158,0.3034892200864745,0.004189589409969072,0.1990609531784021,16,0.9084937500000001,0.0003905124837953309,0.929725,0.0004193617266901219,0.021231249999999924,16,0.5513734017513349,0.0010935586639770247,0.6515865383008823,0.002093732102247161,0.10021313654954744,47.526215171813966,0.19587510151000423,6.563162803649902,0.15752795576435488,0.8692355914808966,0.5368406696948455,0.8745061350695926,0.5392445680226942,0.87993578089956,0.5636575270320542,0.8722103507614788,0.5360418052420725,0.8706228705693324,0.5415701993825286
